datadate,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
2001-01-11,43,0.183566721986489,8.25204385466178e-09,0,0.254131427127346,0,0.852013798755135,1.2634532453965,3.73862058030853
2001-01-12,43,0.199842819364565,0.0974291667551495,0,0.240455454168252,0,0.789607902605643,0.92801412745,2.74762007165726
2001-01-16,45,0.18406364546622,0.0796362285492975,0,0.218892381555688,0,0.649985381635487,0.745679681976767,2.13992165351823
2001-01-17,45,0.252017474143371,0.265773518741474,0,0.223030822609271,0,0.738136236807911,0.318746163336219,1.94686786028838
2001-01-18,45,0.280567485707728,0.299672555530279,0,0.242911745389214,0,1.00780244343803,0.690144635150397,3.28883126775641
2001-01-19,45,0.307474246860182,0.31403514854082,0,0.238962565381354,0,1.00780244343803,0.540915671706184,3.05065638290148
2001-01-22,45,0.341622664068049,0.337050271941279,0,0.23652718358826,0,1.06271421816371,0.92718661093048,4.48098211190228
2001-01-23,46,0.344710495633938,0.337050271941279,0,0.223854428490417,0,0.95006968109386,0.536800352461809,3.44651629779977
2001-01-24,51,0.346331028176495,0.322846041851426,0,0.229039902295712,0,1.01009916615743,0.698705400025644,3.59895423182693
2001-01-25,51,0.341213303132829,0.329528654468903,0,0.215889181778702,0,1.00794687894219,0.719550728169167,3.86569706484618
2001-01-26,52,0.33710735095873,0.316716758636491,0,0.218189278076091,0,0.973784262201607,0.765978065206574,3.76963049760654
2001-01-29,53,0.353766280136051,0.320571787035281,0,0.204386450586796,0,0.917349548913592,0.667025272323255,3.42462991939961
2001-01-30,49,0.360016190845036,0.318034702594443,0,0.202626896331294,0,0.904569525697092,0.595105534810757,3.24537552060447
2001-01-31,53,0.353990499888527,0.317098134462937,0,0.194780512593296,0,0.864287233431167,0.580006272959002,3.18834078945242
2001-02-01,53,0.34642717116226,0.296257419660099,0,0.191395439586966,0,0.84704707193879,0.503865551028569,2.98319228971694
2001-02-02,61,0.335010875103275,0.316753096414583,0,0.175107727300624,0,0.820607734005573,0.613180994253983,3.35757874476639
2001-02-05,61,0.316199776149805,0.290020028004612,0,0.179764020401776,0,0.802334533409877,0.426933089311257,3.27448960315633
2001-02-06,62,0.322822391496934,0.332331326617324,0,0.166674135499275,0,0.773333709971982,0.374353167950986,3.30522842308116
2001-02-07,62,0.325220270697637,0.320433318073252,0,0.167393288483208,0,0.754107899317657,0.349040932981732,3.00717942482512
2001-02-08,62,0.31162861006756,0.313709379527876,0,0.168517064064279,0,0.732327906233541,0.139758976171302,2.86742008320242
2001-02-09,62,0.318558237161633,0.293971767792903,0,0.206640646015897,0,1.25549046361391,1.48972676385321,8.20678227489294
2001-02-12,63,0.31244854161838,0.286670053816028,0,0.19926473352058,0,1.26250735978501,1.75388158231788,9.65812583107152
2001-02-13,62,0.325488207372167,0.290121447421145,0.00110915204807168,0.191082245471955,0.00110915204807168,1.19290244195849,1.66890934945889,8.46070448948379
2001-02-14,62,0.324547026663244,0.293997312794055,0.0408788054628898,0.174557005638268,0.0408788054628898,1.10975789470576,1.59381004196495,8.11956191195334
2001-02-15,62,0.317497470749388,0.2770987163804,0.039480801261348,0.167229192614414,0.039480801261348,1.03582391670973,1.42734874612665,7.0935702994735
2001-02-16,62,0.313496653716011,0.284033448312522,0.0382087245158618,0.161946685960188,0.0382087245158618,1.00778926409848,1.3680015604325,7.01553625450447
2001-02-20,63,0.309721863432321,0.283569181156113,0.036922832890821,0.158763703299695,0.036922832890821,0.953895187757953,1.17115302894052,6.08258650211044
2001-02-21,64,0.308949405087753,0.295519780958678,0.0354960025389693,0.151839426171747,0.0354960025389693,0.905219038499467,1.01114475752167,5.60237083294294
2001-02-22,62,0.297870809028797,0.288653949351891,0,0.151632569093162,0,0.863794299962737,0.835125546307731,5.08914141964281
2001-02-23,63,0.288765267210355,0.2820318324783,0,0.14936501976971,0,0.832824049630165,0.684127785241331,4.80267737837969
2001-02-26,63,0.27624833194833,0.269407271805418,0,0.148486217549283,0,0.805236340033672,0.612690942592989,4.50170458054102
2001-02-27,63,0.279949122343792,0.276190134223235,0,0.139513070339716,0,0.786102836205725,0.760968494523562,4.72667283178998
2001-02-28,66,0.292723802418318,0.264204194459147,0.0297590743021945,0.151392234324442,0.0297590743021945,0.881024519654944,1.32614052176947,6.29296845604085
2001-03-01,66,0.282169511752712,0.262289981474126,0,0.146826327967318,0,0.739094223139562,0.707661263909737,4.28745795175953
2001-03-02,80,0.28351581838458,0.265897125750522,0.0282011774444958,0.132848410987645,0.0282011774444958,0.724772801961901,0.755829110990281,4.13506924850512
2001-03-05,80,0.270206284438042,0.26311137544476,0,0.140626863941518,0,0.709483220779528,0.242529385833498,3.55423951925489
2001-03-06,83,0.277448410594174,0.260287752025106,0,0.191747137715062,0,1.3933524403601,2.73391955956322,17.3273483236817
2001-03-07,83,0.289530082936344,0.256240230015106,0,0.330692252772105,0,2.84601479295247,6.333485128703,49.7018074577292
2001-03-08,83,0.289651111623378,0.254065262517728,0,0.321797867132144,0,2.77680306475649,5.94508924721496,46.5203480495247
2001-03-09,82,0.288941108303207,0.251022459101051,0,0.2965947280318,0,2.55176149761969,5.70456125099123,44.1812976811307
2001-03-12,78,0.28868628068902,0.249009497863078,0,0.286508022736723,0,2.38644106970784,5.1487093711997,38.1324524473317
2001-03-13,80,0.307123342094208,0.251341252755517,0,0.270942429473694,0,2.22892554059983,4.74912842379686,33.4662002146175
