gvkey,GroupCount,mean_F_star,median_F_star,mode_F_star,std_F_star,min_F_star,max_F_star,skewness_F_star,kurtosis_F_star
2085,1139,3004.85034902432,3024.05182225891,2236.52693685529,372.607908886664,2236.52693685529,3784.35453478015,0.053517791043282,1.82858376819898
2086,4390,22583.8497541557,23293.200720249,11326.127727162,4508.90399593336,11326.127727162,30484.6931726696,-0.322042205227601,2.09489993365349
2111,263,13175.0960662297,13051.9083147574,12243.0848087929,599.917279403332,12243.0848087929,15297.5546722704,0.973716233596463,3.82090938385693
2136,1353,119302.081378378,119377.362231419,101081.436368354,6638.99859932299,99429.8662838063,137023.475223956,-0.0509989148983382,3.29208045689434
2137,2217,23778.3231567696,22184.4399676518,17210.4605726548,4594.78541857814,17210.4605726548,38499.4756910758,1.4127413041897,4.00863156700594
2150,1245,2517.40649716266,2513.9025462562,1690.18408048316,407.313915345406,1690.18408048316,3348.1269676473,0.135626305923671,1.7459656015127
2154,1575,2301.65409673145,2224.43045105355,1654.56328054961,306.930540764542,1654.56328054961,3195.89060670859,0.761901806552924,2.87467788333886
2176,483,168810.155523464,169773.011521836,130233.734254334,13511.3211798857,130233.734254334,204700.928620069,-0.588619734302912,3.40571595440873
2184,2855,13260.0748629872,13366.6117493378,6898.52462450905,2430.67305474744,6898.52462450905,18858.7048350089,-0.0943999444366208,2.14101484518186
2259,1358,1704.64413243052,1731.61710114335,1269.41354992774,193.712123490316,1269.41354992774,2148.82540731795,-0.338957619349063,2.14125328161946
2269,2150,5722.0560654914,5721.83614847057,3350.47872340438,1257.58300262598,3350.47872340438,10665.7268766508,1.39368886136852,6.6208599352535
2285,4872,86687.38005758,68438.3473166671,31545.1181008028,46818.7286472739,31545.1181008028,218769.71060579,1.22363557245736,3.44250942299473
2290,1428,3111.94695388725,3205.29113743549,1892.53300660754,782.04052072123,1892.53300660754,4631.89311493838,0.154708643585001,1.65820054765763
2338,2632,15658.9373336608,15447.3371143973,9403.54207711513,2495.70834342858,9403.54207711513,21502.0366419624,-0.0739244954357789,2.16862841039208
2369,1227,27192.1686285357,28105.1908448085,16242.0755559309,5290.91582920068,16242.0755559309,37014.0944051195,-0.434786182170908,2.33598210712631
2393,1229,1229.76961901741,1175.92274609303,819.081213525751,213.277047235248,819.081213525751,1707.43374332095,0.35428314344533,1.91554768577502
2403,3404,39942.4755707904,36273.6884049264,27909.3368133109,10027.0225523432,27909.3368133109,70081.9739222832,1.44146242784945,4.02858517714509
2408,3558,13513.5361916831,13692.9492301901,4855.94267829122,4232.65389868348,4855.94267829122,20101.5191181994,-0.272807685682911,1.87611253417784
2410,4872,550060.891495891,526740.584902199,232354.095882978,115161.698369091,232354.095882978,885201.379934984,0.265083508589933,2.77064236550721
2411,4499,184095.455167178,170850.748128503,22532.6856102084,68097.5752267033,22532.6856102084,432653.332607276,0.683803127451394,2.71409907839968
