datadate,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
2001-01-11,43,17724.7955911249,6950.22741792927,955.580283547733,30002.7845312468,955.580283547733,153213.279327762,3.6567115926271,16.7816420373897
2001-01-12,43,15994.4030040297,8340.0866234681,90.1882621951222,24393.1066090497,90.1882621951222,132670.298214668,3.50360701510528,16.7580251612478
2001-01-16,45,27215.5385373484,7805.7620626738,196.769108267619,69781.0349871155,196.769108267619,416618.903156802,4.86666901266296,27.1354689143224
2001-01-17,45,28031.2024179185,6970.64183063753,306.887950770204,73434.5248053204,306.887950770204,458718.607273464,5.17229132000907,30.4501057680908
2001-01-18,45,29984.9365700046,9055.6769980264,280.742479537437,77247.2040143231,280.742479537437,498142.132894783,5.40623553464418,32.9787865923047
2001-01-19,45,27992.7998331869,8529.82583104403,258.132031584237,65921.2525224333,258.132031584237,419796.081852385,5.12284425195807,30.5601260507779
2001-01-22,45,28115.648608782,8023.1298654911,242.868017299952,65746.578515004,242.868017299952,417043.364417768,5.06901339762916,30.0325868622873
2001-01-23,46,28981.1781351848,9345.20369111469,224.586641934634,68229.7838409323,224.586641934634,433103.724045111,5.07597901299931,30.1455767980493
2001-01-24,51,30195.9016283019,9266.48082520567,211.193284436013,66520.029907137,211.193284436013,417868.684543835,4.76933586931377,27.6676159797643
2001-01-25,51,28999.8039474211,8838.36016709088,201.032302809997,62397.5505561642,201.032302809997,397410.097708756,4.75325458088264,27.863597395199
2001-01-26,52,27466.2577657291,9085.63660513145,216.313938945674,58475.8569922592,216.313938945674,378838.001241702,4.8077219552574,28.6152998656218
2001-01-29,53,26999.0899456916,8928.12685825354,206.142260138634,59782.7453892193,206.142260138634,394428.798194059,5.0063697395928,30.5831860451231
2001-01-30,49,27706.3131316367,7755.41348366311,202.74440556442,59122.3594250754,202.74440556442,373881.883032609,4.72452261993141,27.545395609014
2001-01-31,53,25945.8968664211,6996.34950282612,189.370688409155,58886.0383680107,189.370688409155,390349.742481893,5.09121379999846,31.3864789475498
2001-02-01,53,25139.4570151743,6594.99083875251,184.361455381098,55995.4570075203,184.361455381098,373158.138380983,5.05563622515824,31.282039287615
2001-02-02,61,24510.7580147814,6768.35046985223,180.144544849161,54388.980967023,180.144544849161,361783.091275732,4.96672051801606,30.4748840713792
2001-02-05,61,23203.4106128358,6348.36960328491,173.943684247707,51420.6409648847,173.943684247707,346390.537409094,4.92965583454676,30.4330965421232
2001-02-06,62,22865.5179121702,6866.52887911791,168.338254884966,51196.7167343922,168.338254884966,350453.462743728,5.07842125032809,32.0040970860288
2001-02-07,62,21903.6005196078,6812.50365908616,164.469178140182,49008.8748062511,164.469178140182,338924.236567003,5.08757603532205,32.2783704166075
2001-02-08,62,21514.6987813148,6852.09425112862,160.102145381734,47413.8416081535,160.102145381734,332602.656973134,5.07465124296325,32.47145083949
2001-02-09,62,21015.5091151116,6698.99243891302,171.934289085622,45285.4501572571,171.934289085622,321008.416003865,5.08081680199661,32.7124214082495
2001-02-12,63,20961.0276938493,6628.62218550955,167.185199651058,46455.1407601064,167.185199651058,332281.893116525,5.21884935208098,34.1349325015413
2001-02-13,62,21592.6351265293,6580.53402112922,177.943713779099,48164.1209645383,177.943713779099,345390.0763817,5.30798429297224,35.0296148364134
2001-02-14,62,21625.9500508817,6428.55894437928,179.755169793597,47384.0464755454,179.755169793597,336895.912410773,5.16524455660903,33.6446091568724
2001-02-15,62,21501.6496086236,6297.08405305713,179.448732476268,47003.2821061022,179.448732476268,334668.171682987,5.18046283555888,33.8155058517574
2001-02-16,62,21551.4100004354,6232.03149496719,204.890143294324,47791.5063226673,204.890143294324,342192.813030035,5.26580190948836,34.7036065793483
2001-02-20,63,21946.5924449025,6274.34249422621,203.085272109903,48473.2758719654,203.085272109903,341117.422236116,5.15849383786007,33.3507420714957
2001-02-21,64,21697.8994204155,6708.10500867801,198.277851340761,47562.8464403123,198.277851340761,334065.249416738,5.12891667034053,33.0357915053877
2001-02-22,62,21432.1790000629,6338.54200424596,193.798614667699,47212.5865171977,193.798614667699,327260.526099003,5.02048615200282,31.8561984974611
2001-02-23,63,20816.7671933585,6528.9913166449,190.116813233686,45578.953944537,190.116813233686,319793.574849604,5.06013160614989,32.4019626569297
2001-02-26,63,19918.4327721701,6027.41748243589,185.989008532249,44729.4644733202,185.989008532249,318167.497939065,5.14933384164152,33.4583128249109
2001-02-27,63,20407.3896396151,6131.92364975872,182.309904230116,45969.6431100161,182.309904230116,327089.472748167,5.21330141074747,34.023383448382
2001-02-28,66,20132.7838853041,6279.19469229847,176.634565896854,45803.0170582165,176.634565896854,332583.419957674,5.37316191910076,35.917118232211
2001-03-01,66,19815.3142687976,6292.78161785774,173.713041151699,45937.4067717609,173.713041151699,339897.021026197,5.5341864846679,37.8201436471464
2001-03-02,80,20064.3032268472,6200.08594975755,168.358172875373,45601.7793318949,168.358172875373,335337.697710276,5.42071647793639,36.6871706173598
2001-03-05,80,19256.366605998,5858.02693065662,165.600097070893,44743.5885114678,165.600097070893,339231.650257431,5.64300499718704,39.4848622276962
2001-03-06,83,18902.1390176338,6109.80443352754,171.103790590315,43344.2107118762,171.103790590315,333810.382820535,5.68502234416194,40.2974745819175
2001-03-07,83,18592.4396504706,5926.99332527163,168.167838747265,42282.1644813755,168.167838747265,327801.089652736,5.66176915187235,40.2744921327108
2001-03-08,83,18863.0981440349,6009.3953937849,168.080857701881,40669.1072473426,168.080857701881,323020.39091829,5.669300195963,41.200419463043
