gvkey,GroupCount,mean_ratio_F_star_F,median_ratio_F_star_F,mode_ratio_F_star_F,std_ratio_F_star_F,min_ratio_F_star_F,max_ratio_F_star_F,skewness_ratio_F_star_F,kurtosis_ratio_F_star_F
24318,332,0.138486370326915,0.140577401522652,0.0554231239059188,0.0321758790408544,0.0554231239059188,0.192677289552976,-0.594243187022493,2.70094833125866
24370,1793,1.15715458913876,1.23307592311027,0.282169243403105,0.343715318714364,0.282169243403105,1.83805925259176,-0.458463147060816,2.18169416759044
24625,4225,0.479840241492519,0.445668785562414,0.0771782153384591,0.150722920494612,0.0771782153384591,0.884354809412165,0.715329502147762,2.88300475619508
24678,1251,0.0518410823481369,0.0625609472959846,-0.0843319615023825,0.0436840317973785,-0.0843319615023825,0.144730332908932,-0.793332664080824,3.11823799545658
24731,2336,0.818595245515083,0.838294610719597,0.0822858195223626,0.183693371588597,0.0822858195223626,1.14813803940333,-0.969432235070998,4.23752646745282
25021,337,0.374875854762425,0.0912201111898207,-0.483901396918316,0.447757843362651,-0.483901396918316,1.2371959966303,0.65343888581209,2.14653118998104
25056,788,0.886866694219806,0.905415177009433,0.603809098701652,0.123179511770919,0.603809098701652,1.08084508665374,-0.550339367813125,2.25523484641929
25119,2016,0.615752200595399,0.52580229063247,0.0419480111299556,0.271571244578332,0.0419480111299556,1.1015708488568,0.108044449132194,1.51607887312521
25124,2743,1.02454322193793,1.03133197014945,0.473697073426817,0.176974411949257,0.473697073426817,1.31860674266207,-0.407777987781247,2.27233177003571
25157,2202,0.412462370711533,0.530526874535111,-0.213889187146211,0.448743698208482,-0.213889187146211,1.15093779882995,-0.0812873593331937,1.29760157338473
25180,1080,0.103937177911218,0.090600768781513,0.0605989565579625,0.254546842952865,-0.300822249111204,0.723198804241406,0.396888840341837,2.35611765714539
25279,3763,0.90767769100965,0.636939681464843,0.120000257368972,0.607012297394286,0.120000257368972,2.20822304086361,0.645416336567766,1.9721405021935
25283,2786,1.09584421746558,1.06492281350283,0.199114776660834,0.506584132994912,0.199114776660834,2.33397852014274,0.325750427962774,2.66822397158805
25340,1622,0.246224060534132,0.2310041743195,-0.154813521625998,0.186033419622835,-0.154813521625998,0.694230457410175,0.185465600498909,2.18675777974698
25356,1105,0.904567151513563,0.944220140711303,0.445579761016835,0.181086098082827,0.445579761016835,1.36362640657446,-0.282478785690312,2.73787322795396
25389,1345,-0.0615935441094157,-0.0649221700674842,-0.457443255212832,0.126418187676497,-0.457443255212832,0.33695925501948,0.171754701822327,3.53723099739762
25495,897,0.145659807961515,0.0119379671321782,-0.317018285872695,0.313881829430474,-0.317018285872695,0.914588584367559,1.08205304370381,2.84856152332847
25627,2854,0.674226007096847,0.66912135159236,0.605930171067915,0.108547079477883,0.39544298191293,1.10115508227069,0.677290433215683,3.91091081527685
25648,4751,0.988593308011585,0.75156084553705,-0.360890520222667,0.552189610034361,-0.360890520222667,2.24993777558894,0.79547646258246,2.53293015464032
25714,1512,0.0363652555179541,0.0422661291597917,-0.00677538819983029,0.0231057788921371,-0.00677538819983029,0.0992326990526482,0.28368915145011,1.95969590717087
25751,1348,0.0921737501475379,0.0919935338670739,0.0364445822758257,0.0257974680541195,0.0364445822758257,0.144408400726939,-0.158176605739228,2.20974268574055
25895,1987,0.301214268634034,0.311612133649223,-0.451029996218457,0.411699296242676,-0.451029996218457,0.981559438769106,-0.0232454285007351,1.25976561192239
26061,611,0.776379643886543,0.78894643626467,0.316261522888131,0.103981006318658,0.316261522888131,0.964663925344378,-0.244553463281293,2.39547727325252
27780,1826,0.460423485418754,0.561043639432797,-0.309883630725835,0.287280696223693,-0.309883630725835,0.916808653145233,-0.951553970509557,2.81431230222094
27786,2229,0.289093223724819,0.322481548948337,-0.471197600700834,0.198312250645256,-0.471197600700834,1.73944470804079,-0.828479810409116,5.69328860784283
27914,3304,0.39051631742058,0.370983948624185,-0.0639237742069333,0.143464442122423,-0.0639237742069333,0.744608603252893,0.196001489267878,2.49181177442561
28139,698,0.0377606515546892,-0.0745398291875775,-0.366959382439536,0.301434950251191,-0.366959382439536,0.867259501549482,0.847976696477656,2.40964088807651
28169,2651,0.42895409477617,0.373366307455129,-0.0946177147842403,0.285574207999598,-0.0946177147842403,1.38502465932839,0.989120645598189,3.72146353555919
28191,4861,0.400612461122197,0.434833224744358,0.576061256191947,0.190017385879478,-0.158029674294353,0.840954403177699,-0.243065517393695,2.32699378114428
28194,574,0.139442113068277,0.151342851590188,-0.0887961379730712,0.0694703655869094,-0.0887961379730712,0.301255692260603,-0.526065985252645,3.04221564158561
28195,2698,0.355863070063968,0.24636066886224,-0.188317607987496,0.320187139078763,-0.188317607987496,1.22210452949898,1.26027141693225,3.59928833882303
28216,571,0.103258008723814,0.0859824077350301,-0.0173652755904114,0.0541685962276581,-0.0173652755904114,0.247378750152961,0.743788606946988,2.98138172737138
