gvkey,GroupCount,mean_sigma_V,median_sigma_V,mode_sigma_V,std_sigma_V,min_sigma_V,max_sigma_V,skewness_sigma_V,kurtosis_sigma_V
2751,4838,0.130820415067669,0.13082041506767,0.13082041506767,5.27410446587704e-16,0.13082041506767,0.13082041506767,1,1
2783,2068,0.0981237999391792,0.0981237999391789,0.0981237999391789,2.63741743405242e-16,0.0981237999391789,0.0981237999391789,-1,1
2787,1730,0.317977852115333,0.317977852115332,0.317977852115332,5.55272018752917e-16,0.317977852115332,0.317977852115332,-1,1
2812,560,0.106122886689015,0.106122886689015,0.106122886689015,1.94462734332306e-16,0.106122886689015,0.106122886689015,1,1
2817,2411,0.142909894055569,0.14290989405557,0.14290989405557,1.44358933870237e-15,0.14290989405557,0.14290989405557,1,1
2884,2052,0.152360609563199,0.152360609563199,0.152360609563199,1.66574046857982e-16,0.152360609563199,0.152360609563199,1,1
2968,900,0.0350550585562506,0.0350550585562507,0.0350550585562507,1.31912289147471e-16,0.0350550585562507,0.0350550585562507,1,1
2991,2799,0.170527819632252,0.170527819632249,0.170527819632249,2.52620869119844e-15,0.170527819632249,0.170527819632249,-1,1
3062,557,0.263469278059795,0.263469278059795,0.263469278059795,3.33366293432163e-16,0.263469278059795,0.263469278059795,1,1
3121,2399,0.144873961989233,0.144873961989232,0.144873961989232,1.30478402559475e-15,0.144873961989232,0.144873961989232,-1,1
3138,1785,0.111945193305149,0.11194519330515,0.11194519330515,1.23546923319145e-15,0.11194519330515,0.11194519330515,1,1
3144,3400,0.13877312053252,0.138773120532519,0.138773120532519,4.99673847933388e-16,0.138773120532519,0.138773120532519,-1,1
3170,3457,0.142910647903605,0.142910647903606,0.142910647903606,7.21749363108671e-16,0.142910647903606,0.142910647903606,1,1
3221,4798,0.101855251870617,0.101855251870617,0.101855251870617,2.63705450548596e-16,0.101855251870617,0.101855251870617,-1,1
3226,4800,0.163817136162258,0.163817136162255,0.163817136162255,2.83136366187166e-15,0.163817136162255,0.163817136162255,-1,1
3231,1075,0.0366818867148392,0.0366818867148391,0.0366818867148391,1.38842470996735e-16,0.0366818867148391,0.0366818867148391,-1,1
3243,586,0.0656872307774083,0.0656872307774083,0.0656872307774083,2.77792882005739e-17,0.0656872307774083,0.0656872307774083,-1,1
3246,2153,0.254043149032128,0.254043149032127,0.254043149032127,9.99432851500692e-16,0.254043149032127,0.254043149032127,-1,1
3278,3488,0.106383328902596,0.106383328902597,0.106383328902597,1.01322376461454e-15,0.106383328902597,0.106383328902597,1,1
3310,3136,0.157750848514081,0.15775084851408,0.15775084851408,1.16592008354851e-15,0.15775084851408,0.15775084851408,-1,1
3336,2189,0.17053052734487,0.170530527344871,0.170530527344871,1.19376245563451e-15,0.170530527344871,0.170530527344871,1,1
3362,968,0.156767737276244,0.156767737276244,0.156767737276244,4.99858619233012e-16,0.156767737276244,0.156767737276244,-1,1
3413,3339,0.0814000203614657,0.0814000203614665,0.0814000203614665,7.49512786143186e-16,0.0814000203614665,0.0814000203614665,1,1
3416,1706,0.211012953437555,0.211012953437554,0.211012953437554,1.24936712493744e-15,0.211012953437554,0.211012953437554,-1,1
3439,1652,0.0686115189699058,0.0686115189699055,0.0686115189699055,3.4704975036664e-16,0.0686115189699055,0.0686115189699055,-1,1
3497,1395,0.230714393800502,0.230714393800503,0.230714393800503,6.38607171653523e-16,0.230714393800503,0.230714393800503,1,1
3502,2397,0.192750196696917,0.192750196696916,0.192750196696916,1.24926151843962e-15,0.192750196696916,0.192750196696916,-1,1
3505,1250,0.149505055505794,0.149505055505795,0.149505055505795,1.02736732693132e-15,0.149505055505795,0.149505055505795,1,1
3532,3665,0.315171803883743,0.315171803883741,0.315171803883741,1.72108050371053e-15,0.315171803883741,0.315171803883741,-1,1
3580,1678,0.184618380114741,0.18461838011474,0.18461838011474,7.21860093441748e-16,0.18461838011474,0.18461838011474,-1,1
3607,911,0.210210806272187,0.210210806272188,0.210210806272188,6.94270543613858e-16,0.210210806272188,0.210210806272188,1,1
3650,4818,0.218178841253147,0.218178841253144,0.218178841253144,2.77584564683655e-15,0.218178841253144,0.218178841253144,-1,1
3734,1359,0.109597339902161,0.109597339902161,0.109597339902161,1.38828965095549e-16,0.109597339902161,0.109597339902161,-1,1
3735,3529,0.178578519891605,0.178578519891608,0.178578519891608,3.49769812773152e-15,0.178578519891608,0.178578519891608,1,1
3813,4867,0.179228333951179,0.179228333951176,0.179228333951176,3.05342702060392e-15,0.179228333951176,0.179228333951176,-1,1
3814,1792,0.107659137595682,0.107659137595683,0.107659137595683,5.27503140031762e-16,0.107659137595683,0.107659137595683,1,1
3835,3697,0.140072997556046,0.140072997556044,0.140072997556044,1.88763445185945e-15,0.140072997556044,0.140072997556044,-1,1
