gvkey,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
1722,4755,20410.1391882287,21624.91865,9163.994,6558.5322147,6804.90858,34577.85348,-0.474813165482221,2.42752692516347
1773,4040,3917.39729697525,3853.609055,1316.72154,1392.27081445722,917.96676,7449.48555,0.152777972781026,2.25092174632774
1891,1524,23517.0208992192,24450.268545,22084.6068,3015.95574406884,15813.1983,28207.76288,-0.523600835533155,2.04785698352099
1913,1788,5489.63472425056,5882.15522,5964.948,1375.02247060346,1834.49636,7647.74557,-0.705767172345136,2.43487098611284
1919,4758,4146.35002511454,4386.955045,1385.2372,1362.19457475735,711.73724,6625.96077,-0.341726150784919,2.10010350194917
1920,4617,9732.00800914447,10761.894,893.5369,5821.24340556319,627.1856,21771.89724,-0.0947572009748053,1.87895003787217
1932,626,150307.719341717,151898.506237129,89642.0521784,30245.2185681656,89642.0521784,209981.401253804,0.035239114395863,2.13236617403
1976,3478,18998.0058133586,19748.936495,9663.68442,6668.1123953042,8001.95662,34744.7219,0.120564527068746,1.80740579229553
1988,1822,4367.61242640505,4370.98025,5318.30709,685.415470030923,2426.03808,5902.86004,-0.299463023725926,2.80974490172206
1995,2585,8475.76050749323,7347.17075,4241.97775,3687.3240974296,3333.444,19353.46302,1.07488605155934,3.2513087920103
2002,2507,3674.68585378831,3092.30272,1364.4819,1902.32949478138,474.76453,7884.333835,0.444868211657087,1.98059745160171
2019,695,39878.2944214244,36171.31184,49428.24744,8765.29894428086,20704.76376,56729.13724,0.326042485128358,1.74531560425424
2025,334,2679.23350703593,2927.13244,971.62331,805.653976302094,971.62331,3809.51063,-0.691664848118431,2.10844962861752
2055,930,19644.1206003272,15513.1889986433,9148.0098117019,8368.98644059549,9148.0098117019,44529.6807137955,0.491801372651264,2.1690567944954
2085,1139,3179.02564231343,3239.1842,2587.7012,696.166320866254,1593.4527,4668.2125,-0.10944316127794,2.20493320628592
