gvkey,GroupCount,mean_DD,median_DD,mode_DD,std_DD,min_DD,max_DD,skewness_DD,kurtosis_DD
1045,2662,1.67554512149432,1.64821395506112,2.34366693879733,0.46175870468622,0.493403269703319,2.94708637829457,-0.226014317151977,2.69877711370269
1075,742,2.92496629328677,3.0375713202561,2.45089960210692,0.356145262142034,2.15241116755434,3.65366618933537,-0.292829460542895,1.66326735554196
1078,2466,3.21848247375882,3.16950891579245,3.19978516871655,0.298206664977657,2.41791802624657,4.69471843955374,0.23884794658221,3.87198711389441
1161,799,2.14673447674186,2.18859140052886,3.44705260860061,0.566532763613845,0.64717395118062,4.17573956287279,-0.245909309191751,3.01348272724146
1177,4266,3.0955179749272,3.18916778346179,2.09074597084566,0.380210224677877,1.99060340231181,3.85206628672207,-1.17721789976682,3.88575015170457
1209,4836,3.22013485489371,3.26510415061087,3.34418229886212,0.224652675016786,2.26001656524117,4.5720137123923,-0.320214460755942,4.1074832334791
1300,3189,3.23531975518253,3.28422529979709,2.59124124877727,0.325019632750975,2.22572915555806,4.2133500602155,-0.530255198227504,2.61261997179684
1356,3866,2.91873901969668,2.93359559365264,4.04133895861707,0.398837631728814,1.40307793344863,5.70765243865505,-0.228873720155715,4.77434609755286
1380,2400,2.87842322766901,2.92559448367274,1.96811598679892,0.269362924805012,1.96811598679892,3.58783946214687,-0.725260567118743,3.47793901329857
1408,2389,2.97034045467026,3.00417219071266,3.70096620209154,0.368290770492314,2.17836953445579,4.62515217438064,0.207682608970308,3.09793031948314
1440,3542,3.0767821987373,3.13268947526317,2.91337450079843,0.375069278021741,1.67685219591091,3.89665379652929,-0.969590635850213,3.85960799904719
1447,2147,3.00234815120282,3.08757864128143,3.60181191175392,0.532920038368644,1.74470338465782,4.61495028281505,-0.305424345933425,2.48140389044806
1449,452,3.65324270967542,3.51032243748061,4.2432022987519,0.353506503777303,3.22914664128165,4.39549040883953,0.807717558719562,2.12410575922552
1468,1855,2.66485203253291,2.88100669392846,2.85925438987702,0.59041838416105,1.38296699522734,4.46340425864312,-0.445159823256013,2.24072833281372
1487,3179,2.4912608726014,2.43018488129311,2.42123312082418,0.636624790850307,0.981232761575717,4.29459344974884,-0.0146351837781988,1.90579487529176
1602,3022,3.18378567047111,3.27076240427065,2.97264669568072,0.343995791507995,2.16496416473057,4.59953770330409,-0.711166375502711,3.2171753807732
1632,754,3.33635667344494,3.45747467858204,3.89563458620845,0.627968408247271,2.07622867423076,4.16284179815394,-0.723334157256033,2.1271991387515
1661,3143,2.93895092434006,2.91975218603329,3.66447322161435,0.368586835909082,2.05412902683003,3.99216879742758,-0.0170677661243144,2.46746681292965
1678,2902,3.08388257840722,3.09019498645657,3.35984730171215,0.311255091340781,2.32129283946484,5.17834365866946,0.264439915971868,4.21546068515558
1690,298,2.80037649823532,2.79993310817933,2.80677325330279,0.00690544486493047,2.79226867729321,2.81139965530227,0.186462154656178,1.5516625280684
1704,3123,3.11086317175383,3.06424176084441,3.65264774601355,0.336339326361237,2.46497251323478,4.63833527466408,1.04560784208923,5.63209257710338
1722,4755,3.13393883501344,3.16618489082335,3.48045947804949,0.252154001016389,2.38487798153239,4.76724091932556,-0.220736796083283,4.04402428169649
1773,4040,2.89218420782659,2.97913694115633,1.9396922106821,0.423404557984724,1.55513075019876,3.90300596791702,-0.952857214299996,3.16692108021438
1891,1524,3.14135027016256,3.13187232673607,3.30474556629979,0.210444020206502,2.61290598242414,3.58311866405438,-0.14891371093824,1.94554264672323
1913,1788,3.12727587325672,3.21952265404711,3.73905329921241,0.321061864989327,2.37324154763409,3.76020569981244,-0.340849691960173,2.10792192612761
1919,4758,2.8671127900492,2.99360193119398,2.68801887007018,0.410318706345117,1.2626724577637,3.5739205655182,-1.10087337099688,3.53959836020289
1920,4617,2.93704457606174,2.95284626967943,4.02419231844942,0.445126576210433,1.62516175790749,4.27347874858448,-0.156115110904352,3.09945618484257
1932,626,3.2298096590129,3.31389856514779,2.90153269881536,0.212159908109637,2.73360715873493,3.54076297315958,-0.842652423786358,2.35793559064414
1976,3478,3.13999364084026,3.16408256199264,4.17743066591621,0.29037624338397,2.34633468521318,4.1870401510083,0.167563171785277,3.45225281448445
1988,1822,2.73374171583935,2.72642652859805,2.91446207492393,0.351480815869398,1.89169526802214,4.34834695790858,0.440286210763974,4.82063526054622
1995,2585,2.8534092880427,2.90275165215556,2.71876409204302,0.422784604629631,1.37850963909938,4.61529234406972,-0.368723468181281,2.60140909849915
2002,2507,2.66420954384238,2.58791451052428,2.21679001256242,0.446592262756741,1.70763070528288,3.63227506403948,0.0366856287014038,1.83762593767106
2019,695,2.66399025816022,2.62752347199832,2.33766679137513,0.230935757431358,2.33766679137513,3.32780727616781,0.821912863509388,3.07381836635302
2025,334,2.82329703512954,3.10517238854874,1.60790071488234,0.538307327506689,1.60790071488234,3.35640415570527,-0.995800527139759,2.37597469496609
2055,930,3.25084800748051,3.29871800814335,2.92110656944005,0.216960731737888,2.54276838792096,3.64767865135523,-0.524370860438126,2.33493526346131
2085,1139,2.90621290777504,3.03821812632783,3.61758109944665,0.364406076449107,1.78132700886019,3.89059670750404,-0.970849255547741,3.55063246790061
2086,4390,3.27766184838305,3.33918254363466,3.39180640606315,0.26955720013347,2.43618361665079,4.69332008629205,-0.748370064429881,3.98081382889384
2111,263,3.3480480838732,3.35701337897115,3.19553266853216,0.0506124899517183,3.19553266853216,3.45424232460566,-0.898792803315809,3.62095978969452
2136,1353,3.04456631250459,3.07360697417653,3.40693544759525,0.292102691633748,2.15597257663588,3.96230697381451,-0.753970690965702,4.43805625581009
2137,2217,2.92324738519587,2.99927735963285,3.32253990940541,0.464083334959029,1.67187813777592,4.30840225730424,-0.400019532032896,2.66342808977768
