datadate,GroupCount,mean_DD,median_DD,mode_DD,std_DD,min_DD,max_DD,skewness_DD,kurtosis_DD
2001-01-11,43,2.53028941637999,2.56691668564542,1.27473077224384,0.331901379046128,1.27473077224384,3.14425585738575,-1.58343547033653,6.83219397198019
2001-01-12,43,2.53576353379981,2.56691668587405,1.27473077402408,0.333572215381653,1.27473077402408,3.14425581442488,-1.58812621604402,6.82155822209656
2001-01-16,45,2.53586716081554,2.56734475488083,1.27473077380501,0.329782035108245,1.27473077380501,3.14425581532839,-1.573127353574,6.81444708860818
2001-01-17,45,2.54050783671568,2.56736477156674,2.56629851821933,0.330225911689084,1.27473077360293,3.14425581648199,-1.58320664645391,6.80464630349982
2001-01-18,45,2.54423016816211,2.57621795424135,2.56629836228865,0.332522435658106,1.27473077223338,3.14425587299258,-1.58160281073787,6.69937679219498
2001-01-19,45,2.54827225763627,2.57621799364121,2.56629862799131,0.337832704620923,1.27473077240492,3.14425584073636,-1.50993348441015,6.44379226948018
2001-01-22,45,2.5574661578844,2.61781611411272,1.30702490444926,0.331227279574426,1.30702490444926,3.14425581532839,-1.53944002468572,6.51519617971154
2001-01-23,46,2.56864949145055,2.61545512304844,1.34143396590461,0.325973097720904,1.34143396590461,3.14425582408146,-1.50886787163462,6.33561979884777
2001-01-24,51,2.57329748627802,2.61893467266016,1.37824289248408,0.314606766061754,1.37824289248408,3.14425581283827,-1.3886700689593,6.06017228102719
2001-01-25,51,2.57909951188165,2.63587517290077,1.41780329823302,0.3097045865953,1.41780329823302,3.14425581546732,-1.3654725747093,5.86034983049756
2001-01-26,52,2.56947577248988,2.62277486332168,1.46055655882909,0.319365334071,1.46055655882909,3.14425581374581,-1.20504396116511,4.86297000580246
2001-01-29,53,2.56576072886674,2.62661520730488,1.5070679996341,0.318931804222548,1.5070679996341,3.14425582169445,-1.04712358451187,4.27115050354941
2001-01-30,49,2.59060238059806,2.64849508000991,1.55807918671924,0.313398826239497,1.55807918671924,3.14425582986375,-1.1030965931915,4.38379894648926
2001-01-31,53,2.57009089270952,2.64130234121338,1.87377463951513,0.299519875508519,1.87377463951513,3.07137309958126,-0.74966524386561,2.8613960199378
2001-02-01,53,2.56907147606652,2.64130225584016,1.89523239783765,0.297238625641609,1.89523239783765,3.07137333776612,-0.729384705818478,2.84262017395817
2001-02-02,61,2.57735830089762,2.62661520484864,1.89523239917927,0.284900490604035,1.89523239917927,3.0713731190346,-0.728176881268664,3.07775242982547
2001-02-05,61,2.57930500027445,2.62903421873576,1.89523245334462,0.287484916037325,1.89523245334462,3.07137311207194,-0.772426556839682,3.12421791121975
2001-02-06,62,2.57360659366082,2.6272432411155,1.89523245334462,0.286911959051881,1.89523245334462,3.07137309285191,-0.754472692058356,3.02380493569751
2001-02-07,62,2.57471935712385,2.63019248589876,1.89523242282,0.287961373885002,1.89523242282,3.07137309621372,-0.744220673676827,3.02733526982401
2001-02-08,62,2.58172968514402,2.62612030061791,1.89523245334462,0.287985358733943,1.89523245334462,3.07137307127206,-0.779705885189075,3.09009417440113
2001-02-09,62,2.57919375747296,2.63237490677408,1.89523245334462,0.286272718229064,1.89523245334462,3.07137310290718,-0.787929438866598,3.10574748403378
2001-02-12,63,2.58272914646236,2.62887441856878,1.89523239777248,0.285894820227434,1.89523239777248,3.07137311691666,-0.800895057538856,3.12716191149998
2001-02-13,62,2.5923630998707,2.6397253117173,1.89523239814796,0.274900583546858,1.89523239814796,3.07137311207194,-0.781307834196488,3.2041085319606
2001-02-14,62,2.59141938947819,2.63522866282963,1.89523241332003,0.275117222387619,1.89523241332003,3.07137309285191,-0.769618659515962,3.18467909047935
2001-02-15,62,2.59036441446774,2.63522872753024,1.89523239774716,0.27488004187824,1.89523239774716,3.07137306504656,-0.756975891107959,3.18211918905813
2001-02-16,62,2.58681904274331,2.63522869431761,1.89523243790503,0.275377685814367,1.89523243790503,3.07137307771582,-0.733550933187929,3.13893795244908
2001-02-20,63,2.56563362386178,2.59916311394964,1.8952324089495,0.284526102333898,1.8952324089495,3.07137308633,-0.532808518566762,2.74903341966996
2001-02-21,64,2.56837243749337,2.59948104167448,1.89523239798448,0.284037543483442,1.89523239798448,3.07137309285191,-0.531858630530525,2.75471319047237
2001-02-22,62,2.55420431827366,2.59948100905272,2.48017136678301,0.278227734268529,1.89523245772799,3.07137308326129,-0.540195912079943,2.79714883478818
2001-02-23,63,2.55318800379987,2.5991631077299,2.48017138375236,0.278625026312844,1.89523239776128,3.07137309958126,-0.57052943613046,2.84517077422969
2001-02-26,63,2.56291131128006,2.59520916339217,1.89523245464408,0.274101804987063,1.89523245464408,3.07137309958126,-0.528233922506589,2.96124690075607
2001-02-27,63,2.57297532113469,2.59520915577245,1.89523240140019,0.261222132883506,1.89523240140019,3.07137325481624,-0.482805017061845,2.9553404990323
2001-02-28,66,2.59813400919924,2.64403803807348,2.48017143824961,0.269054425407918,1.87919645750789,3.15616936597813,-0.505808288527038,2.92567734923941
2001-03-01,66,2.60121299232916,2.64403798478885,2.68904868212287,0.263656606143342,1.88803531444589,3.15616936516751,-0.533570741493133,3.0051614200182
2001-03-02,80,2.61979424388825,2.6517151737513,1.89674510295506,0.269516845334818,1.89674510295506,3.15616936402559,-0.613857892816696,3.15359945915429
2001-03-05,80,2.61727256205324,2.64403801222978,1.90533036162015,0.270597026317558,1.90533036162015,3.15616948262146,-0.608105532522431,3.15510441959618
2001-03-06,83,2.60540259509105,2.64354754131701,1.88467928449326,0.280836859406505,1.88467928449326,3.15616948262146,-0.594952710342471,3.05558781119895
