datadate,GroupCount,mean_mcap,median_mcap,mode_mcap,std_mcap,min_mcap,max_mcap,skewness_mcap,kurtosis_mcap
2016-09-01,178,69751.1549476279,24881.55011,868.91012,137709.63761091,868.91012,1247775.93402,5.10760633081324,36.8453448411728
2016-09-02,178,70371.571089943,24983.4619,873.44672,139611.021884401,873.44672,1267432.3977,5.14221782455046,37.2331586889814
2016-09-06,178,70511.8180813879,24439.87304,875.86624,139352.93456492,875.86624,1255966.12722,5.07239094705002,36.3083255815527
2016-09-07,178,70365.8919246948,24471.80392,881.6126,138473.962946928,881.6126,1244704.61157,5.04281075692665,35.9298061840714
2016-09-08,178,70445.923048,24310.0561,884.93944,139886.964685,884.93944,1268046.66219,5.12617729220307,37.0055382510685
2016-09-09,178,69193.1156191732,23468.21867,867.09548,138573.910712072,867.09548,1262313.52695,5.18848833684953,37.7645542290428
2016-09-12,176,70293.7814002538,24767.670075,950.05485,139659.892274781,950.05485,1264975.33974,5.13764348494012,37.1421312967289
2016-09-13,178,68449.3514735382,23474.72096,854.69544,136669.922789508,854.69544,1247161.66953,5.16745874063697,37.6706077419236
2016-09-14,177,68517.4546361721,23977.00814,855.60276,137295.670396529,855.60276,1259037.44967,5.21842456880876,38.4063506223115
2016-09-15,176,69244.1983380012,23812.6949945,861.65156,138482.514433457,861.65156,1261699.26246,5.18404288335121,37.8507587615411
2016-09-16,176,68631.4651867075,23814.2124465,859.23204,137122.686956278,859.23204,1249618.72749,5.17742846488178,37.7950102901279
2016-09-19,177,68613.6848149228,23465.87604,850.76372,137206.2219793,850.76372,1249618.72749,5.18080995624314,37.756120821265
2016-09-20,177,68668.2970204822,23283.39132,848.64664,137469.643745814,848.64664,1254737.59824,5.19273253174845,37.9709698264807
2016-09-21,178,69269.290206325,23393.41539,851.67104,139421.623973884,851.67104,1276646.36505,5.22074808797639,38.3153758602168
2016-09-22,178,69785.1639329184,23804.81,869.81744,139891.060243293,869.81744,1282993.76478,5.21199121445249,38.3046128738969
2016-09-23,178,69296.4018169685,24400.835185,858.62716,138351.709441394,858.62716,1267022.88804,5.19146914242012,38.0516170385779
