gvkey,GroupCount,mean_E,median_E,mode_E,std_E,min_E,max_E,skewness_E,kurtosis_E
28216,567,2138.94307335423,2295.73535125744,763.766905154713,1040.25280866552,763.766905154713,4283.54769613708,0.131334314580582,1.67068591698795
28272,2895,13978.2514168248,13278.7806902218,6869.58164499753,4832.17583064082,6869.58164499753,33283.1563267158,0.85183035903813,3.32345941358964
28298,791,145.003446486094,146.966206907762,66.4531606820303,39.1287046256499,66.4531606820303,256.607810345426,-0.129744553491236,1.99552707242405
28322,1470,520.563168538522,450.012823187811,75.8082218867148,250.33448329775,75.8082218867148,1345.77397134421,1.54272232354192,4.55006307181266
28349,3516,12908.995404107,12938.7342502253,7489.9753105229,3139.4309530876,7489.9753105229,24006.4876586267,0.171296603940362,2.03168656359258
28520,1435,4402.32792139337,4468.94470120195,1616.00915959131,1444.04609103917,1616.00915959131,8959.57020668275,0.368776314535927,3.06334508736534
28629,376,1034.60861476153,1107.54871659451,189.543735098273,262.929061692792,189.543735098273,1606.79239162222,-0.874266836781992,2.80012940087831
28733,2999,3593.89399118621,3040.03102854608,160.57837549793,2051.60610562283,160.57837549793,10811.7371055815,0.92257407972489,3.25946399122623
28742,3849,1944.35306346358,2132.78533319447,416.918585493055,1037.72073956144,416.918585493055,9708.90582099691,1.33275272216123,8.18209115589743
28838,2161,67203.5351684769,73431.562360285,29085.1955488394,23403.8610113458,29085.1955488394,123984.641134708,-0.142313022517351,1.80349725925721
28883,2171,963.001026719182,966.285246712042,395.037780327423,289.007693125606,395.037780327423,2334.76584742025,1.05733613385243,5.54380171839104
28919,338,918.319611723372,891.34819640717,583.279714967114,274.215449493268,583.279714967114,1748.37073708636,0.771843466596122,2.69475539721951
28930,4867,5381.46259236796,4279.81346893137,1681.11804438368,3416.62374583148,1681.11804438368,20501.314019319,1.70579529084542,5.31147324801698
29011,3384,1305.00900765463,1150.07994957202,201.092416651958,634.665513316102,201.092416651958,3910.97527370064,1.79100642024011,6.24440797047071
29028,1959,6695.57443151041,6566.81289400163,623.246388969779,1676.03257443896,623.246388969779,11754.2485762709,0.102880174787556,2.42356036979287
29039,2646,7263.91513043471,6652.70032726097,891.393160142771,2219.30089905187,891.393160142771,18170.0174596198,1.20553054976687,4.90033501801169
29099,1230,1234.78990968004,929.864497262222,409.629305905391,768.783412889556,409.629305905391,6717.16266388211,2.1019192053244,8.88860612709064
29173,1542,2776.94928002958,2991.40288313749,219.001399699393,1013.66157603376,219.001399699393,5918.78582596262,-0.336943672101697,2.21241592755966
29353,1558,2253.79165328054,1765.49992243847,202.119035101061,1570.76485696199,202.119035101061,6501.63233834504,0.430018865480533,1.89325145216366
29389,4783,8173.35153991405,8887.85893150598,1076.54751271079,3930.68697482513,1076.54751271079,23567.1805584,0.229892665695538,3.57832919562193
29392,3537,2351.41314667194,1928.34360128978,471.979467858523,1099.439243346,471.979467858523,5583.57448940841,1.27100396905694,3.60635907895202
29511,3280,931.876204258743,975.425560207515,381.758526240311,313.119843562642,381.758526240311,1768.86109559216,-0.030040371714444,1.90151862765542
29710,2395,1427.72777321969,1487.52103536178,279.024835290278,353.897720112247,279.024835290278,2484.93636955597,0.160771425565768,2.45351865478617
29733,1709,1111.38274753732,1229.33529943159,431.567463910786,485.163908619967,431.567463910786,2593.64089688439,0.101775340655704,2.08236347238552
29755,2155,615.314025435227,504.295314610807,104.638262607056,335.808046165319,104.638262607056,1773.68062143618,1.07340229021255,2.91389376590164
29804,367,6856.09800548794,7152.05930448538,2646.27324797982,1301.00631533834,2646.27324797982,10398.370898031,-0.0502714663840187,2.53640209071492
29830,1690,634.628895186251,508.955407672505,128.428377591148,344.892931634905,128.428377591148,1510.54474097684,0.549787625477965,1.91306843889586
29850,872,2492.04031920007,2479.98152187032,1795.7406000857,380.988658736336,1795.7406000857,4836.34430506699,0.603588891324572,4.35439109080795
29875,2846,1924.6755789434,1841.20789916319,467.732827494387,1120.10737521194,467.732827494387,7155.17814142101,1.08075691369981,4.03104290506305
29968,1462,2080.40648934111,2030.93130140544,99.302587084363,600.832198017763,99.302587084363,4474.89995954089,0.241254995653804,3.08339705439151
29984,1045,4320.92426585167,3701.23916117694,2335.39333400845,1790.76734319298,2335.39333400845,8967.40960672227,0.834230136236846,2.25926910623989
30024,338,1175.3950365957,1021.97332443843,149.200690318812,455.431973279289,149.200690318812,2382.62700408763,1.15308979898676,3.51471826385373
30098,3910,1214.75904945113,796.452202055635,90.1324523935678,1336.57247904615,90.1324523935678,10854.4378320652,3.05997540989969,14.9847727147948
30170,1000,4354.70789503603,4202.45512135007,2141.1737955851,902.316548719462,2141.1737955851,6860.80471347647,0.963098027348806,3.42026709067509
30298,1360,989.216918387513,724.733508128134,424.979970717807,584.126790755596,424.979970717807,4324.72293455072,1.6553891043168,5.68503968767607
30354,1521,1405.53278826994,1005.81291372923,459.787694304987,667.298284070105,459.787694304987,3805.74759969581,1.19203802733554,3.35287506542163
30384,1754,590.52793360313,607.701166446782,344.613459534098,97.0553945837922,344.613459534098,1106.58919148754,0.0493990536468417,3.08035533137622
30452,3822,33016.8089344711,33943.580978792,3504.97381312223,8261.06800288397,3504.97381312223,55435.9099756562,-0.848461375302286,4.82909659435914
30495,379,576.969809971365,574.421132874324,188.175906792456,90.4925745272293,188.175906792456,884.32883902522,-0.592751045521895,5.36473179462751
30501,1510,17220.3111697909,16905.5124079551,10606.8960680667,5432.69541831233,10606.8960680667,27925.7581111105,0.445661158095564,1.85107574893981
30538,940,796.031051750557,722.718897780718,285.858603148595,334.933280697107,285.858603148595,1680.90048037294,0.99461897598121,3.44600183954531
30580,2320,35267.2034677611,33270.644098779,20353.6462786006,7358.57567621805,20353.6462786006,64490.0222846583,0.334454363604171,2.36310088836342
30637,2348,878.865606283894,725.378460463424,385.051199521385,456.103604984913,385.051199521385,3195.27618360372,1.69442816944119,5.59751765840347
30806,2090,3072.54948362848,2864.78233769318,1298.03325890596,1500.84707206581,1298.03325890596,12392.1039920963,1.8521088221225,7.51479819897556
30807,3568,3465.00485510402,3325.89573853556,1782.78904268265,938.470599289258,1782.78904268265,7272.71616029787,1.18268817029848,4.78097504686412
30821,1872,4174.39078574306,3742.83630413013,223.451663016747,3322.48058825259,223.451663016747,76919.4928095205,12.5464124143163,251.919902635802
