gvkey,GroupCount,mean_F,median_F,mode_F,std_F,min_F,max_F,skewness_F,kurtosis_F
1045,2662,18310.6530803907,18597.5,17704,1535.11552633896,13013.5,20457.5,-1.98971785655523,7.61712387251266
1075,742,4201.40283760108,4262.62925,3928.7865,330.760067115283,3699.2485,4771.6985,0.104065393034809,1.84531812025405
1078,2466,15944.9359091646,15519.331,20498.2885,5797.16062797106,9759.1665,27203.886,0.637818803492585,2.03682928501487
1161,799,4461.43176095119,5042.5,5157.5,1103.65039966499,2348.3495,5601.5,-0.948357111678058,2.15427017640473
1177,4266,22705.7564111581,20629.75,18149.3,4644.2727383842,17610.45,36436.8,1.17577398707088,3.61179696146615
1209,4836,4927.73554590569,4907.05,4980.25,1237.58411588394,2713.75,7674.85,0.17197001170878,2.16156414229678
1300,3189,17044.6580432738,18320,9770.5,3588.37510819886,9770.5,21917.5,-0.496650512935882,1.89289898790389
1356,3866,13275.087816865,13631,12728,1222.86328051403,10431.5,15384.5,-0.822672629719406,2.72933261812996
1380,2400,11844.3154166667,12006,10184,1754.96384837393,8211,15437,0.217556476075508,2.51890178450492
1408,2389,4077.7674968606,4312.6,3002.8,1363.10999484177,1943.95,6297.5,0.115110968030787,1.68545286398982
1440,3542,20774.5808441559,20628.5,22666,4150.92290884452,15013.5,32743,0.793383698165947,3.18617888187965
1447,2147,91087.3898462972,89128.5,78303.5,12752.9858874785,70078.5,118223,0.387636330750242,2.32969923600252
1449,452,27990.2754424779,27489.5,27489.5,954.579521040456,25816,29941,0.61030437519266,3.06969390217865
1468,1855,680.063407277628,656.719,582.7425,106.134186325921,536.844,966.238,0.487258901871298,2.41708714530672
1487,3179,347558.538707141,356231,403038.5,101195.373514122,213043,534506,0.170719887032892,1.68788430323504
1602,3022,12095.605741231,10576.5,12294.5,7203.84654671026,1114.4,27000.5,0.654951616813994,2.33771124653408
1632,754,754.134874668437,619.8935,614.9885,286.607931809802,478.6895,1285.2255,1.19527122970127,2.62998381081783
1661,3143,2911.24706076998,3196.435,3435.6205,1013.21350632194,1243.288,4522.1485,-0.218627800980603,1.57655868651175
1678,2902,7522.62112164023,6928.5615,7479.741,4686.49280079797,2249.658,17893.5,0.900752008689638,2.73997188670342
1690,298,8426.30033557047,7785,7785,1954.35747048942,5967.5,11885,0.49902797928939,2.08850440521759
1704,3123,2868.88154723023,2658.2685,1942.2325,803.069558892057,1608.945,5746.5,0.86470736365841,4.34626483783831
1722,4755,14706.8799528917,16606,7630.577,4820.55725444874,5712.45,23332.5,-0.36610532945238,1.80464703308821
1773,4040,4289.01724851485,3704.9745,2479.3645,1629.31268841963,2319.754,8214.984,0.579318413213764,2.14640529355494
1891,1524,15955.9273471129,14128.6,13291.9,5812.55790596988,8735.6565,28394.95,0.888599799159234,2.54022239153788
1913,1788,2518.82133668903,2140.45,3205.9,578.850194771853,1917.05,3779.2,0.674499125086489,1.95306459247749
1919,4758,3872.84009289615,3607.335,2042.5055,1304.82552590936,1986.5395,6676.963,0.293552914126981,1.81028135198707
1920,4617,3271.30578297595,3215.4,2189.8,808.419907364872,2117.4,4842.35,0.21867852004855,1.72548938108768
1932,626,15459.8593626198,15474.3565,16153.738,860.308087047774,13173.07,16343.48,-1.56801632687118,5.132148946562
1976,3478,3895.45596607246,2725.5,1861.65,2095.32947061098,1851.15,7660,0.640173501476891,1.65089126197224
1988,1822,2851.77560373217,3017.75,3322.25,525.913556480216,2058.35,3782.35,-0.0788078093359104,1.57664206792856
1995,2585,9029.32056092842,8000.85,7447.35,2462.78547566344,5397.65,15851.35,0.649987997410076,2.64542373155554
2002,2507,33458.8559260072,32572.1805,32321.451,3491.34698423991,28299.0375,41119.5095,0.687724393151879,2.20737062839212
2019,695,156008.348920863,154986,189110.5,29692.0139328251,74055,215770,-0.143599337287311,3.78835273323832
2025,334,986.968829341317,994.578,944.061,101.718141569748,607.8205,1159.3735,-1.52185061094978,7.03204297832589
2055,930,2673.01182795699,1748,1748,1569.83930648697,1069.5,5669,0.499630845203377,1.62830682573487
2085,1139,1332.60324846356,1349.1,1382.45,84.9543140066976,1165,1559.1,0.0573842937305372,3.99826889647202
2086,4390,6997.88246013667,6555.5,6545.5,2165.17157746573,4108.5,14153,1.25427931439809,4.01503732199119
2111,263,2168.46253992396,2175.9055,2154.865,59.9611296897348,2084.604,2282.325,0.191993932377222,2.37883622413452
2136,1353,71764.6311899483,67362,64415.5,8854.13408582321,62653.5,90683,0.840293685277217,2.23923571007698
2137,2217,11480.3066985372,11487.6204719176,11485.5175016511,1076.22257858155,9053.24132691819,13755.4992667644,-0.0832511080111795,2.83066565602249
2150,1245,1145.17513333333,1140.624,1087.997,66.1514067511268,1071.308,1317.6325,1.21730529013032,3.77006054485368
2154,1575,1016.34268920635,1046.6315,943.023,212.878555916601,721.4695,1603.0855,0.798123323550086,3.7586206377305
2176,483,88478.3612836439,88759,88263,758.890655759016,85814,89304,-1.57361287908869,5.58503715477971
2184,2855,8438.83117338003,8353.5,9452,3069.69236856159,3832.5,14969,0.30277546057427,2.26287585805976
2259,1358,1122.65086561119,1029.0775,867.2815,291.441252569648,748.3445,1791.513,0.682522246204627,2.2526733343132
2269,2150,3121.82131069769,2672.3345,9390.941,1604.57213757055,1441.844,9390.941,2.34480120411217,9.23998179574568
2285,4872,56325.0057471264,47454,28220.5,25734.9310059977,21156,133368,1.08209539439914,3.63635565518382
2290,1428,2730.38333963586,2653.0685,4037.115,410.377091067019,2206.649,4037.115,1.81480110013456,6.66618079940683
2338,2632,3867.76512556991,3752.9625,3273.486,655.30577180029,2763.5115,5271.1085,0.632214051549649,2.58946407604236
2369,1227,21176.4339853301,22815,23999,5524.61718844264,11684,28565.5,-0.496153540757172,1.87754267889806
2393,1229,785.759296175754,793.5965,866.294,106.187586517708,560.0595,953.3205,-0.397254173143028,2.2356612187063
2403,3404,12394.3636897767,12049,11955,1518.07336116253,10481.5,17898,1.37825922689387,4.9195226094756
2408,3558,6743.68792339438,6777.04692715492,5058.43025555819,1478.1108950544,4329.26598562239,9408.29542826305,-0.0759289106699083,1.70501798786943
2410,4872,105720.158148604,112230,102948.5,24143.2069691872,50037.5,139199.5,-0.813323615287267,2.60820708132123
2411,4499,29578.2604395421,29172.7875,29408.2935,4276.49723697259,22344.6135,43253.958,1.26546796168109,5.27590335281866
2444,2800,1748.64292857145,1713.05,1544.3,150.131676841385,1466.65,2130.65,0.203604917418821,2.36751668838219
2504,1576,2807.48045685279,2852.25,2451.2,195.472014045402,2307.55,3164.3,-0.814635936826484,3.31411613736252
2547,3299,28269.6273113065,25264.5,27510.5,8902.35652685341,20211,47600.5,1.34243247590801,3.12309900082714
2558,4791,24771.8686078063,23236.5,23236.5,3276.44900926934,21448.5,32667,0.871156398258906,2.28120471856719
2574,3315,10144.7298642534,10020.5,11856,1154.90826638085,8439,12098,0.383381582514231,1.76589422095773
2593,1890,994.979365079365,887.5,886,263.639840869347,767,1727.5,1.84538984642771,5.11496483056403
