date,Pi,Pi_hat,epsilon_101
1947-02-28,0.649654257039841,0.649654257039841,0
1947-03-31,1.74236411472537,0.632976572554087,1.10938754217128
1947-04-30,0,0.923263559919847,-0.923263559919847
1947-05-31,-0.227531383713554,0.644453545319896,-0.87198492903345
1947-06-30,0.590508188771418,0.386969913663382,0.203538275108035
1947-07-31,0.677050656721071,0.433275729509295,0.243774927211776
1947-08-31,0.761823088488892,0.489510648959375,0.272312439529517
1947-09-30,1.94524259268154,0.552187168942645,1.3930554237389
1947-10-31,0.306011167759462,0.922928848054417,-0.616917680294955
1947-11-30,0.65260183755087,0.728774313536215,-0.0761724759853444
1947-12-31,1.50637666619064,0.689018157548567,0.817358508642074
1948-01-31,1.14675285129855,0.897175487655859,0.249577363642692
1948-02-29,-0.0422386489912328,0.943104623482409,-0.985343272473642
1948-03-31,-0.720800237577941,0.64663191833356,-1.3674321559115
1948-04-30,1.35251427770408,0.252194601151379,1.1003196765527
1948-05-31,0.79448463060078,0.549751327359018,0.244733303241762
1948-06-30,0.581396986541982,0.603260938530862,-0.0218639519888801
1948-07-31,1.02987522005745,0.581732984982727,0.44814223507472
1948-08-31,0.12287529704929,0.690625800551738,-0.567750503502448
1948-09-30,-0.286944242795282,0.516020320236195,-0.802964563031477
1948-10-31,-0.205465451366436,0.280904899368066,-0.486370350734502
1948-11-30,-0.618941526141774,0.139303894458029,-0.758245420599803
1948-12-31,-0.456337651484399,-0.0737841882386259,-0.382553463245773
1949-01-31,-0.166458631860833,-0.177593946488152,0.0111353146273188
1949-02-28,-0.417362876292852,-0.169958004779227,-0.247404871513625
1949-03-31,0,-0.2339557150744,0.2339557150744
1949-04-30,0.0418147612197609,-0.16330503723188,0.205119798451641
1949-05-31,-0.0418147612197652,-0.102435772718324,0.0606210114985591
1949-06-30,0.0418147612197609,-0.0830557971249162,0.124870558344677
1949-07-31,-0.923988094134554,-0.0464204488809465,-0.877567645253607
1949-08-31,0,-0.287710786817453,0.287710786817453
1949-09-30,0.21074823395648,-0.20082698445001,0.41157521840649
1949-10-31,-0.337410695475754,-0.0819484649471778,-0.255462230528576
1949-11-30,0.126662461519276,-0.150431864591767,0.277094326111043
1949-12-31,-0.380469704366397,-0.0700056861973723,-0.310464018169025
1950-01-31,-0.424448854544331,-0.15399330253348,-0.270455552010852
1950-02-28,0.424448854544338,-0.224770020727744,0.649218875272082
1950-03-31,0.126984144047594,-0.0396131707133123,0.166597314760906
1950-04-30,0.0422922400044462,0.00743651682583873,0.0348557231786074
1950-05-31,0.506116643416073,0.0168766462320061,0.489239997184067
1950-06-30,0.461700715229872,0.151626029424999,0.310074685804874
1950-07-31,0.79249632705794,0.233410741405465,0.559085585652475
1950-08-31,0.538638136766009,0.381900480021703,0.156737656744306
1950-09-30,0.576845439674045,0.41540488774839,0.161440551925655
1950-10-31,0.655202999130011,0.449348646667429,0.205854352462582
1950-11-30,0.407332538763587,0.494693057478313,-0.0873605187147257
1950-12-31,1.53290617591144,0.457854764369689,1.07505141154175
1951-01-31,1.58859575888099,0.743149946677686,0.845445812203302
1951-02-28,1.75751448215075,0.957678470250272,0.799836011900477
1951-03-31,0.193386252495075,1.15409718465335,-0.96071093215827
1951-04-30,0.154440185137421,0.859014155028287,-0.704573969890866
1951-05-31,0.269697716932488,0.642279974656708,-0.37258225772422
1951-06-30,-0.231124910282583,0.522842839999351,-0.753967750281934
1951-07-31,-0.0771604976554364,0.301090656420539,-0.378251154075975
1951-08-31,-0.193162123030726,0.18884602688924,-0.382008149919966
1951-09-30,0.655234566276265,0.0784447989578032,0.576789767318462
1951-10-31,0.498180758252388,0.235804634969845,0.262376123282542
1951-11-30,0.609757986811854,0.302248683793519,0.307509303018335
1951-12-31,0.568290978189349,0.379457821793863,0.188833156395486
1952-01-31,-0.0755857934701547,0.421893291980271,-0.497479085450426
1952-02-29,-0.151343199526749,0.273603413974817,-0.424946613501566
1952-03-31,-0.0757575793808086,0.149161934667166,-0.224919514047975
1952-04-30,0.264900817157686,0.0831848576820714,0.181715959475615
1952-05-31,0.0377857552200263,0.131259574824391,-0.093473819604365
1952-06-30,0.226415191063849,0.102062036745303,0.124353154318546
1952-07-31,0.563805289777468,0.133802143552903,0.430003146224566
1952-08-31,0.0374742369009963,0.249182035752079,-0.211707798851083
1952-09-30,-0.225056359059195,0.184287828376481,-0.409344187435675
1952-10-31,0.225056359059196,0.0664503554877774,0.158606003571419
1952-11-30,0,0.108569128171279,-0.108569128171279
1952-12-31,0.0749063705436744,0.0757830836173638,-0.000876713073689458
1953-01-31,-0.262418144968115,0.0735953623458949,-0.33601350731401
1953-02-28,-0.187864041725994,-0.0211383446465717,-0.166725697079423
1953-03-31,0.150319457091236,-0.0666639151995055,0.216983372290742
1953-04-30,0.225056359059196,-0.00499754412425255,0.230053903183448
1953-05-31,0.0374601989770972,0.0586972885260205,-0.0212370895489234
1953-06-30,0.261829212605737,0.0513223814555384,0.210506831150198
1953-07-31,0.0746826024256116,0.108170309083634,-0.033487706658022
1953-08-31,0.223713739835642,0.0961403625677618,0.12757337726788
1953-09-30,0.148864932589961,0.128922273022922,0.0199426595670387
1953-10-31,0.222882707423284,0.131123014024526,0.091759693398758
1953-11-30,-0.371747640013242,0.15311113028114,-0.524858770294382
1953-12-31,0.0744601672526052,0.00415600719364295,0.0703041600589622
1954-01-31,0.2601748354818,0.0234751631646906,0.23669967231711
1954-02-28,0.185425604769525,0.08827535736836,0.0971502474011653
1954-03-31,-0.222552020640565,0.112852914890289,-0.335404935530854
