date,Pi,Pi12,EPi1,EPi12,dEPi12,EPi13,dEPi13,innov,e1,e12
1948-02-01,-0.0422386489912328,9.05896113148304,0.515386384658303,NaN,NaN,NaN,NaN,NaN,-0.557625033649535,NaN
1948-03-01,-0.720800237577941,6.59579677917974,0.685334597293312,NaN,NaN,NaN,NaN,NaN,-1.40613483487125,NaN
1948-04-01,1.35251427770408,7.94831105688382,0.393282842521195,NaN,NaN,NaN,NaN,NaN,0.959231435182888,NaN
1948-05-01,0.79448463060078,8.97032707119816,0.878033366387836,NaN,NaN,NaN,NaN,NaN,-0.0835487357870559,NaN
1948-06-01,0.581396986541982,8.96121586896871,0.814045133560729,NaN,NaN,NaN,NaN,NaN,-0.232648147018747,NaN
1948-07-01,1.02987522005745,9.31404043230509,0.845989148392533,NaN,NaN,NaN,NaN,NaN,0.183886071664915,NaN
1948-08-01,0.12287529704929,8.67509264086549,0.691174323097098,NaN,NaN,NaN,NaN,NaN,-0.568299026047808,NaN
1948-09-01,-0.286944242795282,6.44290580538867,0.942238989309302,NaN,NaN,NaN,NaN,NaN,-1.22918323210458,NaN
1948-10-01,-0.205465451366436,5.93142918626278,0.541945819173912,NaN,NaN,NaN,NaN,NaN,-0.747411270540348,NaN
1948-11-01,-0.618941526141774,4.65988582257013,0.486103630410122,NaN,NaN,NaN,NaN,NaN,-1.1050451565519,NaN
1948-12-01,-0.456337651484399,2.69717150489508,0.258575791256943,NaN,NaN,NaN,NaN,NaN,-0.714913442741342,NaN
1949-01-01,-0.166458631860833,1.38396002173571,0.337895407951428,8.57344507307412,NaN,NaN,NaN,NaN,-0.504354039812262,-7.18948505133841
1949-02-01,-0.417362876292852,1.00883579443407,0.304537020947953,8.78673207738823,0.213287004314111,8.82551888800819,NaN,0.0387868106199623,-0.721899897240805,-7.77789628295416
1949-03-01,0,1.72963603201201,0.15892004023589,7.31934753356726,-1.46738454382097,8.8430845532008,0.0175656651926062,1.52373701963354,-0.15892004023589,-5.58971150155525
1949-04-01,0.0418147612197609,0.418936515527692,0.391141895755327,8.81401625292666,1.4946687193594,7.55033842816623,-1.29274612503457,-1.26367782476043,-0.349327134535566,-8.39507973739897
1949-05-01,-0.0418147612197652,-0.417362876292852,0.23962163330841,8.68867402942514,-0.125342223501519,8.64611731650847,1.09577888834224,-0.0425567129166708,-0.281436394528175,-9.10603690571799
1949-06-01,0.0418147612197609,-0.956945101615056,0.279504572868375,8.70936522466954,0.0206911952443978,8.58329649856718,-0.0628208179412937,-0.126068726102362,-0.237689811648614,-9.66631032628459
1949-07-01,-0.923988094134554,-2.91080841580707,0.272581834344276,8.46201379262764,-0.247351432041894,8.56835332292876,-0.0149431756384129,0.106339530301119,-1.19656992847883,-11.3728222084347
1949-08-01,0,-3.03368371285636,-0.21735083328794,8.82274559353574,0.360731800908093,8.47839667596901,-0.0899566469597559,-0.34434891756673,0.21735083328794,-11.8564293063921
1949-09-01,0.21074823395648,-2.5359912361046,0.492403445368964,7.7244706689136,-1.09827492462214,8.58075573231096,0.102359056341953,0.856285063397358,-0.281655211412484,-10.2604619050182
1949-10-01,-0.337410695475754,-2.66793648021393,0.152718123043798,7.0574103723711,-0.667060296542505,7.83162855919976,-0.749127173111203,0.77421818682866,-0.490128818519552,-9.72534685258503
1949-11-01,0.126662461519276,-1.92233249255287,0.108968829052497,6.07105226966284,-0.986358102708256,7.16543603579343,-0.66619252340633,1.09438376613059,0.0176936324667796,-7.99338476221571
1949-12-01,-0.380469704366397,-1.84646454543486,0.321052573451259,5.60963654811217,-0.461415721550669,6.33435013834068,-0.831085897452744,0.724713590228511,-0.701522277817656,-7.45610109354704
1950-01-01,-0.424448854544331,-2.10445476811837,-0.234530253871782,5.2499696760185,-0.359666872093672,5.74807195016342,-0.586278188177263,0.498102274144919,-0.189918600672549,-7.35442444413688
1950-02-01,0.424448854544338,-1.26264303728118,-0.27362125714694,4.67791141956118,-0.572058256457325,5.39237775194003,-0.355694198223393,0.714466332378851,0.698070111691278,-5.94055445684236
1950-03-01,0.126984144047594,-1.13565889323359,0.38905952724366,4.767727648943,0.089816229381829,4.92557608731616,-0.466801664623871,0.157848438373152,-0.262075383196066,-5.9033865421766
1950-04-01,0.0422922400044462,-1.13518141444891,-0.235640948719607,4.4494579764942,-0.318269672448807,4.77434928737008,-0.151226799946074,0.324891310875884,0.277933188724053,-5.58463939094311
1950-05-01,0.506116643416073,-0.587250009813082,-0.217413052135093,4.32390289433553,-0.125555082158672,4.59034826915276,-0.184001018217319,0.266445374817238,0.723529695551165,-4.91115290414861
1950-06-01,0.461700715229872,-0.167364055802976,-0.143912574106192,4.19166248231701,-0.132240412018517,4.41073684973917,-0.17961141941359,0.219074367422166,0.605613289336065,-4.35902653811998
1950-07-01,0.79249632705794,1.54912036538951,0.161914040118895,3.14666962608384,-1.04499285623316,4.27415938757855,-0.136577462160623,1.12748976149471,0.630582286939045,-1.59754926069434
1950-08-01,0.538638136766009,2.08775850215552,0.321575240409271,3.86473942209892,0.718069796015075,3.66271625139683,-0.611443136181724,-0.202023170702093,0.217062896356738,-1.7769809199434
1950-09-01,0.576845439674045,2.4538557078731,0.366700068039617,3.46093323749172,-0.403806184607196,3.68168512042719,0.0189688690303664,0.220751882935469,0.210145371634427,-1.00707752961862
1950-10-01,0.655202999130011,3.44646940247886,0.403774005193501,3.1899496682426,-0.270983569249126,3.60688172094632,-0.0748033994808757,0.416932052703719,0.251428993936511,0.25651973423626
